m_or_p,from,to,piece
p,,"{0,0}",BETTLE
p,,"{-1,0}",GRASSHOPPER
p,,"{0,1}",QUEEN
p,,"{-1,-1}",QUEEN
p,,"{1,-1}",ANT
p,,"{-2,1}",ANT
m,"{1,-1}","{-1,-2}",
m,"{-2,1}","{0,2}",
p,,"{0,-3}",SPIDER
p,,"{-2,0}",ANT
p,,"{1,-1}",BEETLE
m,"{-2,0}","{-1,2}",
m,"{0,-3}","{-2,0}",
p,,"{-1,3}",SPIDER
p,,"{-3,-1}",ANT
p,,"{1,2}",BEETLE
m,"{1,-1}","{0,-1}",
m,"{-1,0}","{1,0}",
m,"{-3,-1}","{-2,4}",
m,"{1,2}","{1,1}",
p,,"{-3,-1}",
p,,"{2,-1}",
m,"{-3,-1}","{3,-2}",
p,,"{2,1}",GRASSHOPPER
m,"{-1,-2}","{3,1}",
p,,"{-2,2}",BEETLE
m,"{-2,-1}","{-3,2}",
p,,"{2,0}",GRASSHOPPER
m,"{-1,4}","{1,-1}",
m,"{0,2}","{-1,1}",
m,"{0,0}","{-1,1}",
m,"{2,0}","{0,0}",
m,"{1,-1}","{-1,-2}",
m,"{-1,3}","{-4,3}",
m,"{3,1}","{-2,0}",
m,"{2,1}","{-2,1}",
p,,"{0,-3}",GRASSHOPPER
p,,"{2,0}",SPIDER
m,"{-2,0}","{3,0}",
m,"{-2,2}","{-2,3}",
m,"{0,-3}","{-2,-1}",
m,"{-2,3}","{-1,3}",
m,"{-1,-2}","{-1,4}",
m,"{-4,3}","{-2,3}",
m,"{-3,2}","{-3,4}",
m,"{-2,1}","{2,1}",
p,,"{-3,-1}",SPIDER
m,"{2,1}","{-2,1}",
m,"{-3,-1}","{0,-2}",
m,"{1,1}","{0,2}",
m,"{-3,4}","{-3,2}",
m,"{-2,3}","{-1,5}",
p,,"{1,-3}",GRASSHOPPER
m,"{0,2}","{1,1}",
m,"{1,-3}","{-2,0}",
m,"{-1,5}","{0,2}",
